72,Politeknik Negeri Lampung,,,
73,Poltekkes Kemenkes Tanjungkarang,,,
74,STIM (Sekolah Tinggi Olahraga Metro),,,
75,Institut Agama Islam Negeri Raden Intan,,,
76,STAIN Jurai Siwo Metro,,,
77,IAIN Raden Intan,,,
78,Universitas Bangka Belitung,,,
79,Politeknik Manufaktur,,,
80,Poltekkes Kemenkes Pangkal Pinang,,,
81,STAIN Syekh Abdurrahman Siddik,,,
82,Universitas Sultan Ageng Tirtayasa,,,
83,Perguruan Tinggi Buddhi,,,
84,IAIN Sultan Maulana Hasanuddin,,,
85,Universitas Pendidikan Indonesia,,,
86,Universitas Terbuka Pondok Cabe,,,
87,Sekolah Tinggi Agama Buddha Negeri Sriwijaya Tangerang,,,
88,Akademi Meteorologi dan Geofisika (AMG) Tangerang,,,
89,Institut Agama Islam Banten (IAIB),,,
90,Universitas Pertahanan Indonesia (UNHAN),,,
91,Universitas Negeri Jakarta,,,
92,Universitas Terbuka,,,
93,Politeknik Negeri Jakarta,,,
94,Politeknik Negeri Media Kreatif,,,
95,UIN Syarif Hidayatullah Jakartaâ€Ž,,,
96,Sekolah Tinggi Ilmu Pelayaran Jakarta,,,
97,Sekolah Tinggi Manajemen Industri Indonesia,,,
98,Akademi Pimpinan Perusahaan (APP),,,
99,Institut Ilmu Pemerintahan,,,
100,Sekolah Tinggi Akuntansi Negara,,,
101,Sekolah Tinggi Hukum Militer,,,
102,Sekolah Tinggi Ilmu Administrasi,,,
103,Sekolah Tinggi Ilmu Kepolisian (PTIK),,,
104,Sekolah Tinggi Ilmu Pelayaran (STIP),,,
105,Sekolah Tinggi Ilmu Statistik (STIS),,,
106,Sekolah Tinggi Manajemen Industri(STMI),,,
107,Sekolah Tinggi Penerbangan Indonesia (PI),,,
108,Sekolah Tinggi Perikanan (STP),,,
109,Politeknik Kesehatan Jakarta I,,,
110,Politeknik Kesehatan Jakarta II,,,
111,Politeknik Negeri Jakarta,,,
112,Politeknik Manufaktur Negeri Bandung,,,
113,Universitas Pendidikan Indonesia,,,
114,Universitas Padjadjaran,,,
115,Universitas Jenderal Achmad Yani,,,
116,Institut Pertanian Bogor,,,
117,Politeknik Negeri Bandung,,,
118,Politeknik Indramayu,,,
119,Universitas Siliwangi (UNSIL),,,
120,niversitas Singaperbangsa (UNSIKA),,,
121,Universitas Swadaya Gunung Jati (Unswagati) di Kota Cirebon,,,
122,Universitas Pendidikan Indonesia,,,
123,Universitas Pendidikan Indonesia,,,
124,Universitas Pendidikan Indonesia,,,
125,Universitas Pendidikan Indonesia,,,
126,Akademi Ilmu Pemasyarakatan (AKIP),,,
127,Akademi Imigrasi (AIM) Depok,,,
128,Akademi Kimia Analis (AKA) Bogor,,,
129,Sekolah Tinggi Ilmu Administrasi,,,
